prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
orig,cnt_sq,Restless Legs Syndrome,pu_N04BC,-0.357450018016,-0.3581755,0.41267979868248583,0.418189569,-1.028635,0.3264843
new,cnt_sq,Restless Legs Syndrome,pu_N04BC,-0.1564315242082625,-0.1611515,0.35071487165447024,0.3576060852,-0.7348604,0.41437189999999974
orig,cnt_sq,Restless Legs Syndrome,pu_N04BC,-0.1661450271247,-0.157644,0.33873227385641697,0.33898840983,-0.715475,0.3824144499999994
new,cnt_sq,Restless Legs Syndrome,pu_N04BC,0.043991857325475,0.04344755,0.07166277817195778,0.072045649725,-0.07286136999999998,0.16107269999999999
orig,cnt_sq,Restless Legs Syndrome,pu_N04BC,0.043499416816975,0.0417462,0.07054568081950265,0.071338820175,-0.07203029,0.15879054999999997
new,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,-0.20203197604448,-0.206586,0.23242600875320635,0.23068811220000002,-0.5754260499999999,0.17847244999999967
orig,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,-0.194209730382875,-0.19111899999999998,0.23152680671263923,0.23740391955,-0.57864005,0.18685569999999962
new,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,-0.02908596411925,-0.027428750000000002,0.10336100690580521,0.10337725019999999,-0.20449005,0.13535499999999998
orig,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,-0.0322475309274,-0.03272095,0.10201268341102104,0.10364967794999999,-0.19683955,0.13844619999999985
new,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,0.0073705354508025,0.007160675,0.013451529558009566,0.013610282825999997,-0.01436324,0.029648589999999996
orig,cnt_sq,Systemic Lupus Erythematosus,pu_l04aa,0.0077631995319875,0.007895705,0.013132157849686911,0.013109883087,-0.013750565000000001,0.029218454999999994
new,intrvl,BPH,pu_g04be,0.07974473785265,0.07629695,0.21651129854043563,0.18456968943,-0.26447495,0.4227639999999999
orig,intrvl,BPH,pu_g04be,0.085298663918,0.0768977,0.20190667182282188,0.1757911407,-0.22430245,0.41340629999999967
new,intrvl,BPH,pu_g04be,-0.37490848971175,-0.4134485,0.5002338923597829,0.4244350215,-1.102423,0.49584274999999906
orig,intrvl,BPH,pu_g04be,-0.375190749923175,-0.405922,0.39527290600718074,0.35676989879999993,-0.973255,0.3193078999999999
new,intrvl,BPH,pu_g04be,-0.029486533294475,-0.027645299999999998,0.20056133299754575,0.15067233846,-0.31954645,0.27249354999999975
orig,intrvl,BPH,pu_g04be,-0.02647655743177,-0.029020499999999998,0.16630281286241172,0.14923658862,-0.29044175,0.23793724999999957
new,intrvl,BPH,pu_g04be,-0.05421483485405,-0.054688,0.16779859406978428,0.1463667198,-0.3161516,0.21356999999999995
orig,intrvl,BPH,pu_g04be,-0.062261690751,-0.062418650000000006,0.16212608903765022,0.14085129954,-0.31760465,0.1907314
new,intrvl,BPH,pu_g04be,-0.029201539850955,-0.02506075,0.22642259408436136,0.16877725661999998,-0.3748655,0.29024719999999954
orig,intrvl,BPH,pu_g04be,-0.020587567441675,-0.02201415,0.17628263287011312,0.16001842646999997,-0.29550075,0.26052189999999986
new,intrvl,CIU,pu_r03dx,0.0412102384715,0.041959949999999996,0.08146748906202796,0.07827794415,-0.09337995499999999,0.17557915000000002
orig,intrvl,CIU,pu_r03dx,0.0418386364551,0.0430528,0.08276690534175005,0.08334309878999999,-0.09439215,0.17542169999999996
new,intrvl,CIU,pu_r03dx,-0.0166203692028,-0.0223243,0.45274982644091555,0.45649402259999994,-0.760881,0.72150045
orig,intrvl,CIU,pu_r03dx,-0.029721004201125,-0.032396350000000004,0.4280601281707207,0.43461433071,-0.724376,0.6832748999999997
new,intrvl,CIU,pu_r03dx,0.21885477097725,0.216698,0.3282582526287661,0.3202300268244,-0.32074279999999994,0.7554811499999998
orig,intrvl,CIU,pu_r03dx,0.208363096649,0.208376,0.3166309173139006,0.323761922505,-0.30810639999999995,0.7194331999999999
new,intrvl,CIU,pu_r03dx,-0.115330987845425,-0.1143575,0.16539538497355338,0.16448268333,-0.3894415,0.1551618
orig,intrvl,CIU,pu_r03dx,-0.111223912367075,-0.1126025,0.1597790494930487,0.159606019041,-0.3715921,0.14961109999999994
new,intrvl,CIU,pu_r03dx,0.123042947524375,0.1221685,0.14806515087512517,0.1467047526,-0.12239339999999999,0.3676556999999998
